# wt148 · PROMISES ADJUDICATED — one row per (sentence, named artefact) that scripts/wt148_promise_sweep.py
# emits for an in-scope manuscript. A row is a CLAIM: that a human RAN OR READ the artefact and found
# the sentence borne out (or not). It is not a claim that the sentence looks fine.
#
# HOW TO FALSIFY A ROW — and you should, because a row nobody re-checks is worth nothing:
#   1. Take the row's `evidence` column. It names a command to run or a file to read.
#   2. Run it or read it. If it does not show what `note` says it shows, the row is FALSE.
#   3. Delete the row. `python3 scripts/wt148_promise_sweep.py` goes RED on the next run, because the
#      promise it covered becomes unadjudicated. That is how this file is audited rather than trusted.
#   Editing the SENTENCE also invalidates the row: `promise_id` is a hash of (paper, artefact,
#   sentence), so a reworded promise gets a new id and the old row is reported STALE. Re-check, do not
#   re-key.
#
# CLASSES
#   H  HELD       — the artefact bears the sentence out.
#   N  NOT A PROMISE — the sentence names the artefact but asserts nothing about it that could fail
#                   independently of a row adjudicated elsewhere. Still checked; still a row.
#   R  REPAIRED   — the artefact did NOT bear it out; the manuscript was changed in the same pass, and
#                   `note` says what failed and which script repaired it.
#   C  CARDED     — failed, not repairable in-pass; `note` carries a NAMED FALSIFIER.
#
# SCOPE. The line below is the gate. Adding a manuscript stem to it turns the sweep red until every
# promise that manuscript emits carries a row. Widening scope is a data edit, deliberately.
#scope	paper-III	paper-IV
#
# paper<TAB>promise_id<TAB>artefact<TAB>class<TAB>evidence<TAB>note<TAB>sentence
paper-III	bb9fba4abf	PRE-002	H	python3 scripts/wt089_recognition_and_offdiagonal.py (RC 0) §3 A1	POOLED n=695 d=613 alpha_yr=0.4077 [0.3827,0.4319] -> the paper's 0.408 [0.383,0.432], and PRE-002 is the instrument that dates the events	**That made the recognition rate, not the ordering, the quantity to establish first — and §5.4 establishes it.** On the registered sample the recognition rate PRE-002's instrument identifies is **α̂ = 0.408 per year**, 95% interval [0.383, 0.432], on both known biases' inflating side: the calibration used here is low by an order of magnitude, and the asserted rectangle lies inside the domain at the measured rate and across its 95% interval, where **0.974** of the 683 disclosed pairs are admissible and **0.959** at the interval's lower bound.
paper-III	719d407124	REG-003	H	read docs/preregistration/REG-003-...md §3.3	§3.3 is titled 'Two biases, their direction registered before the number'; B2 registers the peak_onset doubt in advance, which is the doubt the unregistered 0.327 cut is aimed at. The 0.327/0.814 figures are RESULT-REG-003 §2's, and scripts/wt110_edits_c21_labels.py is the commit that relabelled the cut 'unregistered'	At the unregistered cut aimed at the doubt REG-003 §3.3 registered in advance — the 175 events charged one quarter after the peak dropped, giving **0.327** — the rectangle's own fastest disclosed rate of 0.3333 is no longer cleared, and **0.814** of the pairs remain admissible.
paper-III	4ce8cf4bc5	PRE-002	H	wt089 §3 A2	discrete Weibull k-hat = 1.210, 95% profile CI [1.135, 1.285], q-hat 0.9213 -- printed verbatim; constant hazard REJECTED	§5.4 measures the recognition rate PRE-002's instrument identifies and, in the same fit, rejects the shape the model assumes: discrete Weibull k̂ = 1.210, 95% interval [1.135, 1.285], stable under truncation at eight, twelve and sixteen quarters.
paper-III	fb26fc52b4	REG-004	H	read docs/preregistration/REG-004-p3-age-dependent-recognition.md	REG-004 is the age-dependent-recognition registration; the sentence is a pointer to what it asks, and it asks it	REG-004 asks what it was doing.
paper-III	79acf1691f	REG-004	H	read REG-004 + RESULT-REG-004.md	REG-004 names the two channels (R2 lowers K; a flatter transform pushes the crossing up) in advance and they oppose	REG-004 named the two channels in advance and they oppose: a lower R₂ lowers K and pushes the crossing down, a flatter transform pushes it up.
paper-III	3bdab165bf	REG-005	H	read docs/preregistration/REG-005-...md §2 and §5	§2 registers exactly four falsifiers, F1 Nesting / F2 Non-vacuity / F3 Witness / F4 the T=0 mass; §5 registers exactly five ladders, I, P, S, N and W. Four and five, counted	**It leaves a trace, and the trace has a size.** REG-005 registered the question, four falsifiers and five ladders before `wt091` existed.
paper-III	e949f42f3b	wt091	H	git log on both paths	REG-005 committed 6f0e7be 2026-08-12 15:10:24; wt091 first appears at 42ca377 2026-08-12 16:24:12 -- registration precedes the instrument by 74 minutes	**It leaves a trace, and the trace has a size.** REG-005 registered the question, four falsifiers and five ladders before `wt091` existed.
paper-III	caf38c6060	REG-005	H	read REG-005 §5 ladders I and W	'invisible below one part in a thousand' is ladder I's predicted rung I2 (1e-6 <= eps < 1e-3); 'a hundred times the event-date interval' is ladder W's predicted rung W4 (W >= 100). Both predictions are registered, both are quoted correctly, and the paper reports both wrong in the same direction	**Two predictions registered in advance were wrong, in the same direction.** REG-005 predicted the shape would be invisible below one part in a thousand and that the shape interval would be a hundred times the event-date interval, reasoning from the density of rational lag distributions in lag space and from the classical ill-conditioning of exponential sums, where a three-term signal is reproduced by two terms to a few parts in ten thousand with rates bearing no relation to the truth (Lanczos, 1956, as quantified by Varah, 1982).
paper-III	988f2c17eb	PRE-001	H	git log/cat-file on darwin, wealthTensor-82	git show --name-only 9722342 lists exactly one file: docs/preregistration/PRE-001-wt026-observability-lag.md. Committed alone, as claimed	**The registration preceded the data.** PRE-001 was committed **alone**, at commit 9722342, and pushed, before any lag was computed; the analysis code did not yet exist.
paper-III	c8ce16780e	9722342	H	git log/cat-file on darwin, wealthTensor-82	type=commit, 2026-08-05, 'PRE-001: pre-register the WT-026 severe test, before any lag is computed'; single-file commit	**The registration preceded the data.** PRE-001 was committed **alone**, at commit 9722342, and pushed, before any lag was computed; the analysis code did not yet exist.
paper-III	3e80798925	PRE-001	N	read §5.1	a pointer to what PRE-001 timestamps; asserts nothing about the artefact that could fail independently of the row above	**A disclosure, because the discipline just described does not fully cover the test this paper reports.** PRE-001 timestamps the *prediction*.
paper-III	d9f85198a4	PRE-002	H	git log/cat-file on darwin, wealthTensor-82	git log shows RESULT-001-* logs entered at d655501 and the analysed result later; the history does establish registration before outcome	The result reported in §5.3 comes from PRE-002, which specifies a different *instrument* — and PRE-002's registration shipped in the same commit (d655501) as the implementation of that instrument.
paper-III	6d3081f7d0	d655501	H	git log/cat-file on darwin, wealthTensor-82	type=commit, 2026-08-05, 'WT-026 severe test: the prediction FAILS on both registered universes'	The result reported in §5.3 comes from PRE-002, which specifies a different *instrument* — and PRE-002's registration shipped in the same commit (d655501) as the implementation of that instrument.
paper-III	ff83025f93	PRE-002	H	git log/cat-file on darwin, wealthTensor-82	git log shows RESULT-001-* logs entered at d655501 and the analysed result later; the history does establish registration before outcome	The result itself came later, at a subsequent commit, so the git history still establishes that PRE-002 was registered before its outcome existed.
paper-III	4459d67fab	PRE-001	N	read §5.1	a comparative claim about the two registrations' evidential standing; names PRE-001 but asserts nothing about the file	The point is that this is an *account* rather than a demonstration, whereas for PRE-001 it is a demonstration.
paper-III	c487d43b12	PRE-002	N	read §5.1	states a programme RULE adopted after PRE-002; the artefact is named as the rule's date-stamp, not as its subject	A reader is entitled to weight the two differently, and this programme now requires that a registration precede the **instrument's code**, not merely the result — a rule it did not have when PRE-002 was written.
paper-III	e949978dfa	PRE-001	H	read docs/preregistration/RESULT-001-wt026.md	PRE-001 returned a null in both universes and the two nulls disagree -- the result document says so	The first test (PRE-001) returned a null in both universes, and the two nulls did not even agree with each other.
paper-III	22a534478f	PRE-002	H	read docs/preregistration/PRE-002-wt026-peak-to-charge.md	every clause checks: peak-to-charge onset (§title), label permutation 1000x (§4), power curve reported whatever happens (§4), alpha = 0.025 one-sided Bonferroni (§4), and §5 'The stopping rule' states in advance that there is no third instrument	**This diagnosis was not permitted to rescue the result.** A second, **separately numbered** registration (PRE-002) was written with a different onset instrument (peak-to-charge), a label-permutation negative control, a power curve to be reported whatever happened, the significance level tightened to 0.025 for the second look, and — decisively — an explicit **stopping rule** stating in advance that there would be no third instrument.
paper-III	ee0a0d8810	PRE-001	N	read the §5.3 table header	a table column label; the promise it makes is the one already adjudicated at L1188 and L1211	| | PRE-001 (streak onset) | PRE-002 (peak onset) |
paper-III	151b957f9d	PRE-002	N	read the §5.3 table header	a table column label; see L1230	| | PRE-001 (streak onset) | PRE-002 (peak onset) |
paper-III	c50873f849	PRE-001	H	docs/preregistration/RESULT-002-pilot-run.log + RESULT-001-wt026.md	both z-statistics negative (pilot z=-0.290, replication z=-0.095), running opposite to the predicted ordering, as in the PRE-001 pilot	**The shape of the failure, stated as sharply as the data allow.** Both z-statistics are negative, meaning the point estimates ran *opposite* to the predicted ordering in both universes, as they had in the PRE-001 pilot.
paper-III	e982f4354d	REG-003	H	git log/cat-file on darwin, wealthTensor-82	REG-003 registered at b088cc8 2026-08-12 12:57:06; its instrument wt089_recognition_and_offdiagonal.py first appears at 0569ab6 2026-08-12 13:37:24 -- 40 minutes later. Two questions, both returned	Two were registered in `REG-003`, committed and pushed before the instrument existed, and both returned.
paper-III	93662b4195	data/pre-002-events.json	H	wt089 §2 reconciliation block	rebuilt 695 events / 313 firms (122+191) against RESULT-002's 688 / 311 (121+190); pilot tier counts 21/21, 34/34, 34/34 identical and 155->158 not -- three of four, as claimed; censored share 7.7% rebuilt against the pilot log's 7.8%	The firm count is read back out of the committed `data/pre-002-events.json`; an earlier revision of this sentence said 307, which would have made the rebuild *fail* the one-per-cent reconciliation the sentence exists to assert.
paper-III	823e26924e	PRE-002	H	wt089 §3 A3	the three registered sensitivities print 0.3970, 0.4986 and 0.4129 -- the paper's 0.397, 0.499 and 0.413	The three sensitivities registered with PRE-002 give 0.397, 0.499 and 0.413.
paper-III	55f23be268	REG-006	H	read docs/preregistration/RESULT-REG-006.md	published 4.35x/4.03x; repaired 3.99x (p 0.0012) and 2.17x (p 0.085, loses Holm significance); unrepaired same crawl 3.63x and 4.14x. Every figure in the sentence is in the result document	Property with goodwill was published at 4.35× and 4.03× on a tier whose tag list omitted the element most filers use for it; `REG-006` repairs the omission and re-derives that cell at **3.99×** and **2.17×**, against **3.63×** and **4.14×** from the same crawl unrepaired — so the repair *raises* the retail cell and takes the computer-services one below significance, and its cross-sector agreement does not survive the repair.
paper-III	80d7719907	REG-006	H	read RESULT-REG-006.md	'No cell carries the registered sign'; the document's own title is 'the net cannot be signed from entity-level filings'	**Under the ordering alone the two charges are substitutes at the margin, and this sample shows them as complements.** Signing the net requires the two charges at the reporting-unit level, which US filings do not disclose; `REG-006` registered an entity-level test of the suppressing channel and it returned no consistent sign in either sector.
paper-III	d0b1f3a2bc	REG-007	H	read docs/preregistration/RESULT-REG-007.md	REG-007 measures the triggering-disclosure route and reports that it identifies neither charge	The natural fallback is the triggering *disclosure* rather than the charge, and `REG-007` measures why that route does not identify either.
paper-III	435626b096	REG-008	H	read RESULT-REG-008.md §2	mandated window 644 -> 0.1025, placebo 949 -> 0.0295 (the paper's 0.103 against 0.030); M1 named unit +0.0139 at p 0.6013 (the paper's +0.014, p 0.60); detectable Lambda >= 0.068 at 80% power	`REG-008` sharpens the instrument to the sentence and to the *named* reporting unit, and the separation from the placebo more than doubles — **0.103 against 0.030** — while the joint-versus-goodwill-only difference stays at **+0.014** (*p* 0.60) in a design that could have detected 0.068.
paper-III	6c1665993f	METHOD-001	H	read docs/METHOD-001-the-phantom-tag.md	the document's title says 'six times' and its §1 is 'The six instances'; six, and retired before publication	| **The framework's guards can fail** | audit of the guards themselves | a guard that could not fail passing silently | **six found and retired**, before publication, recorded in `METHOD-001` |
paper-III	4aeeb0fbdf	PRE-001	N	read §9	a limitation heading naming the instrument; the substance is adjudicated at L1188/L1211	**The streak-onset instrument (PRE-001).** §5.2.
paper-III	555069bb54	PRE-002	H	read PRE-002 §5	the stopping rule was registered in advance and it does bar a third instrument -- §5 says so in as many words	**Re-specifying the onset rule until it worked.** After PRE-002 also failed, a third instrument was available and was not built, because PRE-002's stopping rule had been registered in advance.
paper-III	f6848585e1	PRE-002	H	wt089 §3 A1/A2	alpha is measured for the quantity PRE-002's instrument dates; 0.408/yr on the registered sample against the 0.05 swept in the body, and the constant hazard is rejected	**φ and θ are not measured; they are swept — and for φ the reason is §4.** α is measured, but for the quantity PRE-002's instrument dates rather than for the model's α: §5.4 estimates that rate at 0.408 per year on the registered sample, against the 0.05 swept through the body and on both known biases' inflating side, and finds the constant hazard the model assumes to be rejected.
